Trial Name,Leading Organization,Other Leading Organization(s),Organization Type,Primary CDR Method,All CDR Methods,Status,Start of Pilot,End of Pilot,Duration of Pilot,Goals of Pilot / Field Trial,Relevance for Path to Commercial,Planned Sequestration (tons CO2),Sequestration per year (tons CO2/year),Partners or Collaborator,MRV Provider,MRV Strategy,Monitoring Platforms,Measurements,Lessons Learned,Followup Trial Expected,Location,Organization-specific: Input(s),Organization-specific: Output(s),Organization-specific: CDR Location (Requirements),Latitude,longitude,URL
Ocean Alkalinity Enhancement Mesocosm Research Trial in Bergen,GEOMAR,,Research Institution,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Concluded,05/2022,July 2022,Weeks,"Examine the safe operating space of ocean alkalinity enhancement in terms of environmental safety, ecosystem health and possible risks to ecosystem services. This includes CDR efficiency, efficacy and permanency as well as possible co-benefits.
In this trial, we tested non-equilibrated alkalinity enhancement with a ∆TA range from 0 to 600 µmol/kg (in ∆TA steps of 150 µmol/kg), simulating two different mineral types (silicate- and carbonate-based minerals).

",N/A,N/A,,"University of Las Palmas Gran Canaria,University of Hamburg,Bigelow Laboratory for Ocean Sciences,Southern Cross University,University of Tasmania,University of Agder,Technical University of Denmark",Measurement-Internal,"Internal, covering over 45 physical, chemical and biological parameters.","Tanks or Mesocosms,Bottle samples,Underwater cameras,Dive teams","Total alkalinity,pH,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Particulate organic nitrogen,Particulate organic phosphorus,Dissolved oxygen,Temperature,Salinity,Nutrients,Algal growth,Total algae,Phytoplankton,Chlorophyll-a,Biological samples,Microbial analysis,""Species richness, evenness and diversity"",Air-sea gas exchange","Preliminary results indicate that the environmental impacts were mild to non-detectable for the alkalinity enhancement, but significant differences were detected between mineral types.

",Subsequently to this mesocosm experiment we have conducted one further mesocosm study on the island of Helgoland in the North Sea in 2023. We are planning to conduct a series of OAE mesocosm studies during differnet seasons in Kiel Fjord in 2024,"https://www.google.de/maps/place/Espegrend+Marine+Research+Field+Station/@60.2695504,5.1719579,13z/data=!4m6!3m5!1s0x463cf05fc187e165:0x657658a9b40f1a50!8m2!3d60.2695903!4d5.2233061!16s%2Fm%2F04n0546?entry=ttu",,,,60.2695504,5.1719579,https://bg.copernicus.org/preprints/bg-2023-144/
"Olivine dispersal in tidal marsh ecosystems in Cape Cod, Massachusetts",Vesta,"Woods Hole Oceanographic Institutions,US Geological Survey,US National Park Service",Start-up,Mineral-Based Ocean Alkalinity Enhancement,"Enhanced Weathering,Mineral-Based Ocean Alkalinity Enhancement",Operating,05/2022,ongoing,Unlimited,"Field experiment in a different type of region from a beach to test the impacts of olivine on a tidal marsh ecosystem
Set up replicate plots and varying amounts of olivine to test both carbon removal and ecology","Understand any environmental impacts both positive or negative - if there were any negative how to change the designs of projects to help mitigate against them.

Assess real world carbon removal rates, but secondarily understand the factors that influence those removal rates → how to design the projects to increase efficiency (safety thresholds, coastal geomorphology etc).

Field test MRV approach.

Generate peer-reviewed publications, publish everything they’re doing at the field sites, develop third-party consensus around findings.",1,,,Measurement-Internal,"'- monitoring ongoing
    - similarly to Southhampton trials (look for details in respective card)
- ecology survey to look at community structure
    - did them monthly from May-October, restarting after winter
    - sediment chore surveys on annual basis to not disturb too much
    - poor water surveys looking at same parameters
    - generally more monthly surveys than weekly ones
",,,,,https://goo.gl/maps/J5A37CPNR7zQayer7,Alkaline rocks,De-acidified and decarbonized seawater,"Permittability,Green alkalinity supply nearby,Community Engagement,No high-risk marine ecosystems,Existing laboratories nearby,No downwelling zones nearby,High energy wave environment",41.7986530,-70.3081092,https://www.vesta.earth/
"Pilot of rapid, fully-measured alkalinity addition in Governors Island",Vycarb,,Start-up,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Concluded,08/2023,NA,Months,"Demonstrate Vycarb's approach to rapid, fully-measured CDR over months-long deployment. Other goals include serving as public visitation and educational hosting site  and generating ancillary samples for independent measurement validation","Continuous deployment as useful for optimizing process and demonstrating efficacy.
",N/A,N/A,"US National Park Service,Trust for Governor's Island","Internal,Measurement-Internal,Verification-Third Party","'- Primary goal to validate internal direct measurement-based MRV using ancillary sampling and laboratory analyses to compare against direct in-situ measurements
- Laboratory analyses (TA titrations, DIC analyzer, coulometry) performed internally and with external university partners
- Internally-developed autonomous sensors used for direct quantification of CO2, HCO3, CO3. Off the shelf sensors used for pH.","Bottle samples,Vycarb Field DIC Sensor","pCO2,pH,Total alkalinity,Dissolved inorganic carbon,Temperature,Salinity","- Able to quantify reduction in CO2 and molar equivalent production of HCO3 and CO3 
- Able to control alkalinity release based on baseline conditions to achieve CDR without raising pH above mean ocean 
- Able to achieve on-site alkalinity dissolution with range of feedstock",,https://www.google.com/maps/place/governors+island/data=!4m2!3m1!1s0x89c25a7ada7d834f:0x78c2917911c7f535?sa=X&ved=2ahUKEwiA5IamsMOCAxVxk4kEHQxyB0AQ8gF6BAhYEAA,"Alkaline solids,Alkaline rocks","De-acidified and decarbonized seawater,Dissolved inorganic carbon,Dissolved bicarbonate","Green alkalinity supply nearby,Near-shore,Suitable ocean conditions (general)",40.6885844,-74.0193751,vy-carb.com
Research Deployments of terrestrial biomass coated alkaline materials off the Iceland EEZ,Running Tide,,Start-up,Biomass Sinking ,"Biomass Sinking,Mineral-Based Ocean Alkalinity Enhancement",Concluded,05/2023,May 2027,Years,"Conducted from May through August 2023 off the Icelandic EEZ — additional information and results to be released in the coming months. The key goals include
- Ability to deploy safely and effectively very dependent on weather windows in the North Atlantic
- Research deployments with terrestrial biomass coated alkaline materials - not currently operationalizing macroalgae in larger deployments, though open ocean macroalgae research is also being conducted as part of Iceland project. 
- Open call for researchers and organizations to tell us which data from these deployments would be most useful, as well as the most useful place for that data to live. ","Although research deployments, this is the first conservatively quantified ocean-based carbon removal delivered to customers from this project - see the recent Shopify announcement.",50000,,"Eimskip,Marine and Freshwater Research Institute","Measurement-Internal,Modeling-Internal,Verification-Third Party,Reporting-Third Party",Strategy covered in Running Tide's Framework Protocol	,,,Ongoing	,N/A,https://goo.gl/maps/197Bh4AJ4TBYkFoG7,"Renewable Energy,Seawater,Macroalgae sporophytes ,Alkaline rocks","Sunk organic carbon,Dissolved inorganic carbon","Permittability,Existing laboratories nearby,Macroalgae supply,Deep water,Nutrient supply,Historical MetOcean data available",64.3157729,-22.0603537,https://www.runningtide.com/iceland
Ocean Alkalinity Enhancement Mesocosm Research Trial in Gran Canaria,GEOMAR,,Research Institution,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Concluded,09/2021,October 2021,Weeks,"Examine the safe operating space of ocean alkalinity enhancement in terms of environmental safety, ecosystem health and possible risks to ecosystem services. This includes CDR efficiency, efficacy and permanency as well as possible co-benefits.
In this trial, we tested CO2-equilibrated alkalinity enhancement with a ∆TA range from 0 to 2400 µmol/kg (in ∆TA steps of 300 µmol/kg). CO2-equilibrated alkalinization is the most optimistic OAE application as it has comparatively moderate effects on carbonate chemistry.",N/A,N/A,,University of Las Palmas Gran Canaria,Measurement-Internal,"Internal, covering over 45 physical, chemical and biological paramters.","Tanks or Mesocosms,Bottle samples,Underwater cameras,Dive teams","Total alkalinity,pH,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Particulate organic nitrogen,Particulate organic phosphorus,Dissolved oxygen,Temperature,Salinity,Turbidity,Nutrients,Algal growth,Total algae,Phytoplankton,Chlorophyll-a,Biological samples,Microbial analysis,""Species richness, evenness and diversity""","In this trial, we tested CO2-equilibrated alkalinity enhancement, which has comparatively moderate effects on carbonate chemistry. For this approach of CO2-equilibrated OAE, ecosystem impacts were mild to non-detectable for the duration of the experiment. However, secondary calcium carbonate precipitation occurred in the highest OAE treatment.
","Subsequently to this mesocosm experiment we have conducted two further mesocosm studies simulating different OAE approaches, in the Raunefjord in Norway in 2022 and on the island of Helgoland in the North Sea in 2023. We are planning to conduct a series of OAE mesocosm studies during different seasons in Kiel Fjord in 2024.","https://www.google.de/maps/place/27%C2%B059'22.8%22N+15%C2%B022'08.3%22W/@27.9896677,-15.3738479,17z/data=!3m1!4b1!4m12!1m7!3m6!1s0xc40bd2c5be3b06b:0xea6c555cc39ddb9c!2sMuelle+de+Taliarte!8m2!3d27.9902031!4d-15.3692776!16s%2Fg%2F12135y6q!3m3!8m2!3d27.989663!4d-15.368977?entry=ttu",,,"Existing infrastructure available,Existing laboratories nearby",27.9896714,-15.3715471,https://egusphere.copernicus.org/preprints/2023/egusphere-2023-2409/
LOC-NESS Trial 1: Tracking the movement of dye tracer to inform alkalinity dispersion,Woods Hole Oceanographic Institution,,Research Institution,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Concluded,09/2023,September 2023,Days,"This research will study the way in which an increase in alkalinity can potentially pull carbon dioxide out of the atmosphere and store it safely.
The team will release nontoxic, fluorescent Rhodamine WT dye into the ocean from a research ship and track its movement through the water for 72 hours to model the dispersion of a plume of alkalinity over time. By releasing an environmentally safe red dye in the ocean, the research team can “label” a patch of water and determine how long that water stays at the surface and interacts with the atmosphere or mixes and sinks.
The reason the scientists are interested in how the dye disperses and how fast the dispersal occurs is because for alkalinity to take up carbon dioxide from the atmosphere, the alkaline material—which will be used in the second and third field experiments—has to be at the ocean surface.
Conducting a series of these field experiments off the northeast coast of the United States in waters above the continental shelf and slope will allow researchers to use this data to design the optimal combination of observational and modeling capabilities needed to safely deploy alkaline feedstock from a ship and to determine the atmospheric and environmental impacts of carbon dioxide removal via OAE.",N/A		,N/A,,"NOAA,Rutgers University,MBARI",Measurement-Internal,"Once released, the red dye is visible to the naked eye for several hours after the deployment, with small traces detectable by instruments for approximately 72 hours.
The science team will use fluorometer sensors on the ship, towed senor package, drifting buoys with sensors, drones, and satellite imagery, and a CTD rosette.
We will also be surveying the biological community and water chemistry, as background data for our later experiments. The dye is non-toxic, so it poses no threat to humans, wildlife, or the environment. Because it is being released out at sea, beachgoers, or those closer to shore won’t detect the presence of the dye.","Drones,Satellites,Autonomous Drifters or Floats,Boat-based measurements",,,"We will conduct two dispersals of dissolved alkalinity and inert dye from the R/V Connecticut (Summer 2024). We will conduct a large-scale dispersal of dissolved alkalinity and dye from an ocean- or global-class research vessel, e.g. the R/V Armstrong (Summer 2025).",https://maps.app.goo.gl/s9qkqb9wtiRpT4VZ8,,,,41.3638040,-70.6273550,https://subhaslab.whoi.edu/loc-ness/
Testing decomposition rate differences in anoxic vs oxic conditions in Lake Kinneret (Sea of Galilee),Rewind,,Start-up,,"Biomass Sinking,Anoxic Zone Storage",Concluded,06/2022,January 2023,Months,Examine decomposition rate differences between various organic materials in oxic and anoxic conditions,Ensure slower decomposition under anoxic conditions. ,N/A,,,Measurement-Internal,The dry mass of the different OM was measured prior and following its deployment. All measurements were internal,"Bottle samples,Boat-based measurements,Moorings","Temperature,Salinity,Dry mass",Wood (Pine) decomposition was the slowest followed by straw and leak.,,https://maps.app.goo.gl/55wQSsSg3rmAVWqE9,,,,32.8037670,35.6008290,https://www.rewind.earth/#our-solution
Halifax Harbour OAE Net Carbon Removal Pilot ,Planetary Technologies,,Start-up,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Concluded,09/2023,December 2023,Months,"Goals for Planetary Technologies include: 
(1) Quantify oceanographic signals and mCDR in response to OAE deployed at thermal power plant 
(2) Operate Planetary Site Automation and Monitoring System (SAM) in commercial setting 
- (3) Measure environmental impact of OAE",,100,,Dalhousie University,"Verification-Third Party,Several","Planetary's generalized MRV approach has been reviewed by numerous external parties, including experts in the field and the general publi. As a result it has undergone multiple revisions. Version 3 of the MRV approach is available on the website: https://www.planetarytech.com/science/planetarys-oae/planetarys-mrv/
MRV and net carbon removal will be validated by a third party, but procedural specifics for this specific project are not yet defined.","Bottle samples,Boat-based measurements,Remotely Operated Vehicles,Autonomous Surface Vehicles,Moorings,Drones,Underwater cameras,CTD,pCO2 Sensor","pCO2,Total alkalinity,pH,Dissolved inorganic carbon,Particulate inorganic carbon,Temperature,Salinity,EC,Turbidity,Chlorophyll-a,Phytoplankton,eDNA,Trace metals,Total suspended solids,Sediment cores,Dye fluorescence ,Visual,Light level (PAR),CTD",,Aiming to begin a second trial at this location in 2024,https://maps.app.goo.gl/n2L5NXV14ZEsNLh5A,"Renewable Energy,Magnesium silicate rocks,Magnesium hydroxide,Calcium hydroxide","Alkaline hydroxides,Green hydrogen","Existing infrastructure available,Shallow currents,Green alkalinity supply nearby",44.6748620,-63.5954350,https://www.planetarytech.com/projects/nova-scotia/
Wave pump test off Gran Canaria,GEOMAR,Ocean Based Climate Solutions,Research Institution,Artificial Upwelling,Artificial Upwelling,Concluded,11/2022,November 2022,Days,A wave-driving upwelling pump was deployed in the Atlantic Ocean 140 nautical miles south of the most westerly Canary Island El Hierro by the Spanish research vessel Sarmiento de Gamboa. The pump brought nutrient-rich water from 200 meters depth up to the sunlit surface layer. The goal of this field trial was to test the technical feasibility of a wave-driven upwelling pump and monitor how the upwelled water mixes into the surface layer and how the surface plankton community responds.,N/A,N/A,,,Measurement-Internal,"Flow meters installed, track the spreading of the upwelled deep water in the surface layer by dye addition, CTD",Wave Pump,"Temperature,Salinity,Wave height,Tracer fluorescence,Flow velocity","The pump deployment by the crew of the Sarmiento de Gamboa went well. As the approximately 2.5-ton bottom weight sank, the 200-meter pump hose properly uncoiled from the drifting buoy, pulling the end of the hose to depth and filling the 1.9-meter-wide flexible tube. Fully deployed, the wave pump immediately began pumping deep water to the surface through the rise and fall of the drift buoy with each wave. Flow meters installed in the pump indicated a pumping volume of 3000 cubic meters per hour. Unfortunately, the bottom weight came off the tube after a few hours at which point the pump stopped pumping. Lesson learned: Further technical development is needed to ensure that a pump of this kind is operable long-term under open ocean conditions.",,"https://www.google.de/maps/place/25%C2%B030'13.0%22N+19%C2%B006'07.9%22W/@26.6093295,-19.0485751,7z/data=!4m4!3m3!8m2!3d25.5036111!4d-19.1021944?entry=ttu",,,,26.6093295,-19.0485751,https://www.geomar.de/en/news/article/greening-the-ocean-to-combat-climate-change
"Learning site: Microalgae raceway ponds in Akhfennir, Morocco",Brilliant Planet,,Start-up,,"Ocean Nutrient Fertilization,Biomass Burial",Concluded,01/2015,,Unlimited,"Main operating site to learn and grow for commercial scale.
3 hectare site in Morocco, largest pond is 8000 sqm, 4000 ton seawater capacity; 8 ton CO2 / year capacity","Has been really good at identifying for field operational challenges over time in real world conditions: seasons, sand storms, when not to produce, productivity levels.
How to work with governments. 
Local community engagement lessons.",72,8,"University of Plymouth,University of Southampton,Scottish Association for Marine Science (SAMS)","Measurement-Internal,Modeling-Internal","'- Internal (combination of modeling and sensors)
- Can actively see where water is going thanks to in-house model
    - relevant primarily for nutrient source information for intake of ocean water
    - also usable for outflow water modeling  
    - placing sensors strategically along the predicted outflow
- Quasi constrained system
- Have built own pH sensor program
    - Measures productivity in the ponds
    - innately helped measure pH in the ocean

Buried Biomass 
: 
- burying sensors alongside biomass
- measuring methane emissions, nitrate sulfite, carbon monoxide, CO2, gases etc.","Satellites,Wavegliders,Saildrones,Moorings","pCO2,pH,Total alkalinity,Temperature,EC","'
- Not really representative because it was built purely for research purposes
- Has led to full cycle, so all aspects of the system (pumping, inoculating with local strain, grow out, harvesting (keep trying to improve that), spray drying into desert, collection of biomass, burial (fugitive gas analysis on daily basis)) are being tested on this site
- 

Science
- Drying, spraying, and decaying biomass
    - actual process has increased in speed → biomass is dry within 4 minutes when sprayed into desert
    - at no point during process is biomass without oxygen
    - there is no breakdown of biomass → no degassing noticed so far through sensors under ground
- Optimized variables for algae growth
    - temperature, point of injection of water, when to add, how much to add, velocity of adding, how deep are ponds etc.
    - as seasons change, how to keep growth alive
- flows into operational model → working with seawater chemistry
    - able to observe at every stage: DIC, alkalinity, electric conductivity, temperature, where carbonate and bicarbonate is, how much pCO2, pH, for the sake of controlling conditions in the pond
    - subtleties of control are key

Infrastructure and Engineering
- what not to do and discover room for improvement
    - pond depth is too shallow
    - learning rate of large infrastructure project: modularity – not hoping to build plants larger than 12500 sqm anymore
    - will be deeper than today but not larger than that
    - ability to do research at current scale is very transferable from a scaleup point of view
- size matters mostly for seawater intake system
    - current pipeline has real physical limitations (intake, fowling, etc.) → cannot scale this pipeline system to 100s of thousands, millions of tons → engineering money is crazy high
    - modular thinking applies  to seawater intake
        - actively working on marine feed front-end engineering design
        - marine intake system like a mini harbor, proper structure sticking out into the ocean, resistant to waves etc., which will allow pumping at flexible times
    - all using existing structures and engineering put together into a ""next larger module""

Logistics and Timelines
- 500km from next major city: supply chains are amazing in the sense that local passenger bus is the single most reliable mode of transport
- Timelines
    - Government relations ~ 3 years 
    - logistical questions (customs etc.) ~ 1 year
    - purely technical questions (working autonomously and remotely) ~ 2.5 years
",Yes,https://goo.gl/maps/oAQVaFJCgB51aDGh6,"Renewable Energy,Seawater,Sunlight,""Supplementary nutrients (phosphorus, nitrogen)"",Local endemic microalgae","De-acidified and decarbonized seawater,Dried biomass-salt composite,Food ingredients","Coastal Desert,Flat,Unoccupied Terrain,High-Quality Seawater,Suitable currents + tidal systems,Long-term burial site within range,Onshore,Renewable energy nearby",28.0849444,-12.0811944,https://www.brilliantplanet.com/what-we-do/our-process
"mCDR 2023: An opportunity to study Ocean Alkalinity Enhancement, CDR, and ecosystem impacts through coastal liming (NOPP)",University of Rhode Island,,Academic,Mineral-Based Ocean Alkalinity Enhancement,"Enhanced Weathering,Mineral-Based Ocean Alkalinity Enhancement",Operating,03/2024,July 2025,Months,"This program will monitor the carbon chemistry of a small coastal lagoon before and after the application of calcitic limestone on the surface of an abutting golf course. By opportunistically studying lime applied as part of routine lawn care on private land, the project both removes the risk of acquiring permits in an ecologically and culturally sensitive environment and tests the marine impact of authentic rates of lime application for soil improvement. The simplicity of the semi-enclosed lagoon and the expertise of the team assembled to study it will yield an unprecedented, detailed account of the chemical fate, CDR potential, and ecosystem impacts of alkalinity entering the marine environment through coastal terrestrial liming.",N/A	,N/A,,"NOAA,University of Hawaii,Other,University of Connecticut,US EPA",Measurement-Internal,"Calculate terms in carbon and alkalanity budgets by academic scientists using a combination of sensors, bottle sample collection, and air-sea flux measurements.","Tanks or Mesocosms,Bottle samples,Boat-based measurements,Moorings","pCO2,Total alkalinity,pH,Dissolved inorganic carbon,Current,Dissolved oxygen,Temperature,Salinity,Air-sea gas exchange,Wind speed,Nutrients,Biological samples",,,"https://www.google.com/maps/place/Winnapaug+Pond/@41.3313911,-71.7847074,2419m/data=!3m2!1e3!4b1!4m6!3m5!1s0x89e5e61080a1590d:0xdf81292939c4f0c!8m2!3d41.3310679!4d-71.7689206!16s%2Fm%2F063zb5c?entry=ttu",,,"Shallow water,Onshore,Existing laboratories nearby",41.3313754,-71.7744077,https://oceanacidification.noaa.gov/fy23-nopp-mcdr-awards/
Second of a kind electrochemical plant in Singapore,Equatic,,Start-up,Electrochemical Ocean Alkalinity Enhancement ,Electrochemical Ocean Alkalinity Enhancement,Operating,03/2023,December 2024,Months,"Technology derisking, field demonstration, assessment of technoeconomics and unit economics, to establish operational best practices, and learn scale-up and scale-out considerations",Learning to scale up to 10 tonnes CO2/day,150,100,,"Internal,Certification-Third Party",Primary CDR measured by online turbidity sensors; Secondary CDR measured by comparing ion solutions in solution and solids quantity both in an closed system. MRV process done in house with process certified by third party to get ISO certified,,Turbidity,,,https://goo.gl/maps/CCsxiieYkpraYkeJ6,"Renewable Energy,Seawater,Alkaline solids","Dissolved bicarbonate,Mineral carbonates,Green hydrogen","Onshore,Offshore,Low-cost construction possible,Existing infrastructure available,Suitable ocean conditions (general)",1.2824007,103.6381828,https://www.equatic.tech/
"Impact of artifical upwelling on macroalgae growth in Aoshan Bay, Shandong Province, China",Xiamen University,,Academic,Artificial Upwelling,"Artificial Upwelling,Macroalgae Sequestration",Concluded,12/2018,May 2019,Months,"The potential of artificial upwelling (AU) in enhancing transport of nutrient-rich bottom water to the surface, stimulating seaweed growth and consequently increasing organic carbon removal from coastal waters to land after harvest has attracted increasing scientific interest.",N/A	,N/A,,Zhejiang University,Measurement-Internal,https://www.sciencedirect.com/science/article/pii/S014111872030081X,"Boat-based measurements,Autonomous Buoys,CTD","Temperature,Nutrients,Microbial analysis,Algal growth,Seaweed growth rate",,,https://maps.app.goo.gl/zZLUf7NjB8TbSyQp8,,,Macroalgae supply,36.4292860,120.7287060,https://www.sciencedirect.com/science/article/pii/S014111872030081X
Testing Algaray Robot to intercept and sink sargassum in Antigua,Seaweed Generation,,Start-up,Biomass Sinking ,Biomass Sinking,Concluded,05/2023,May 2023,Days,"We build solar powered autonomous robots to sink problematic Sargassum for carbon dioxide removal.  In this pilot, we were looking to confirm our knowledge of Sargassum buoyancy and density levels, but our main focus was on the operational efficiencies of the AlgaRay. We tested the end to end operation of our AlgaRay robot, including:
- Interception of Sargassum (at current size, the scoop can hold up to 500kg of Sargassum)
- Scoop dive and release
- Sinking Sargassum, recording data for proof and modelling



 ","The pilot has been instrumental in our next stage R&D, with a V2 optimised version of the AlgaRay currently in development. Data gathering is a crucial part of our operations, and we are working on designing a deep sea AlgaProbe to help in our deep ocean monitoring for MRV purposes. Results from the pilot have helped shape our path of development here.  ",N/A,,,Measurement-Internal,All measurements were taken internally with a focus on AlgaRay operations over environmental data in this pilot. ,"Remotely Operated Vehicles,Underwater cameras",Visual,"Sargassum negatively buoyant at 150m

Sargassum mats were significantly denser than expected - at 50cm, the GoPro was within rather than below the mat. Likely that volumes of Sargassum are much denser than estimated from satellite imagery. This is consistent with data from community discussions.",,"https://www.google.com/maps/place/17%C2%B000'09.8%22N+61%C2%B047'01.9%22W/@17.0032352,-61.8005778,14z/data=!4m12!1m7!3m6!1s0x8c12eb71c60a3a45:0x57f4829ee3890000!2sFalmouth+Harbour!8m2!3d17.0155027!4d-61.7773729!16s%2Fm%2F03h3nq_!3m3!8m2!3d17.0027222!4d-61.7838611?authuser=0&entry=ttu","Seawater,Sunlight","De-acidified and decarbonized seawater,Sunk organic carbon","Macroalgae supply,Offshore,Suitable ocean conditions (general),Permittability",17.0032352,-61.8005778,https://www.seaweedgeneration.com/
Ocean Alkalinity Enhancement Mesocosm Research Trial in Helgoland,GEOMAR,Alfred-Wegener-Institute,Research Institution,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Concluded,03/2023,April 2023,Weeks,"Examine the safe operating space of ocean alkalinity enhancement in terms of environmental safety, ecosystem health and possible risks to ecosystem services. This includes CDR efficiency, efficacy and permanency as well as possible co-benefits.
In this trial, we tested non-equilibrated alkalinity enhancement with a ∆TA range from 0 to 1250 µmol/kg (in ∆TA steps of 250 µmol/kg), simulating two different dilution modes.",N/A,N/A,,"University of Hamburg,Helmholtz Zentrum Hereon,University of the Azores,University of Las Palmas Gran Canaria,University of Applied Sciences Bremerhaven,Southern Cross University",Measurement-Internal,"Internal, covering over 45 physical, chemical and biological parameters.","Tanks or Mesocosms,Bottle samples,Dive teams","Total alkalinity,pH,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Particulate organic nitrogen,Particulate organic phosphorus,Dissolved oxygen,Temperature,Salinity,Air-sea gas exchange,Nutrients,Algal growth,Total algae,Phytoplankton,Chlorophyll-a,Biological samples,Microbial analysis,""Species richness, evenness and diversity"",Trace metals",Data assessment still on-going. Preliminary results indicate relatively strong (compared to our previous mesocosm studies) effects at the primary producer level. Data on higher trophic levels currently not available.,We are planning to conduct a series of OAE mesocosm studies during differnet seasons in Kiel Fjord in 2024,"https://www.google.com/maps/place/54%C2%B010'37.0%22N+7%C2%B053'36.0%22E/@54.1769475,7.8907584,17z/data=!3m1!4b1!4m12!1m7!3m6!1s0x47b5b5f639dd02d5:0xaa73dab13716cca4!2sHelgoland(S%C3%BCdhafen)!8m2!3d54.1741648!4d7.8929071!16s%2Fg%2F11g0lgl5p7!3m3!8m2!3d54.1769444!4d7.8933333?entry=ttu",,,"Existing infrastructure available,Existing laboratories nearby,No strong currents",54.1769475,7.8907584,
Enclosed Benthic Chamber Experiments in the Baltic Sea,GEOMAR,,Research Institution,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Submitted Proposal,TBD,,Weeks,The effects of the addition of calcite minerals to the seafloor and its potential for local alkalinity enhancement for CO2 removal will be tested by means of experiments in enclosed benthic chambers attached to a lander systems,N/A,N/A,,,"Measurement-Internal,Modeling-Internal","1. internally
2. Marine Geosystems - Benthic Biogeochemistry (adale@geomar.de) and Geomicrobiology (mperner@geomar.de)
3. Sensors: Aandera (O2, T, conductivity), Unisense (H2S, pH); we own them
4. GEOMAR own autonomous platforms
5. sediment coring; standardized procedures
",Benthic Lander,"Total alkalinity,pH,Dissolved oxygen,Dissolved inorganic carbon,Temperature,Salinity,Nutrients,Microbial analysis,Biological samples,Hydrogen sulfide concentration,Sediment cores",,same type of experiment in anoxic and hypoxic bottom waters of Gotland Deep probably late  winter/early spring 2026,"Eckernförde Bight, Boknis Eck",,,,54.4735560,9.9074190,
"Pilot Integrating Direct Ocean Removal Process with a desalination facility in Maagan Michael, Israel",CarbonBlue,[C]Worthy,Start-up,Direct Ocean Capture,Direct Ocean Capture,Approved and in Planning Stage,06/2024,N/A,Years,"1.Integration of the DOR technology with an existing infrastructure (a desalination facility).
2.Scale up the DOR technology to a semi-commercial scale.
3.Test the MRV methodology in an operating site.",Reduction of engineering and MRV risks + scale-up of the technology.,400,,[C]Worthy,"Modeling-Internal,Internal,Measurement-Internal",The MRV will be internal at that stage and included from 2025 onwards. It will be a combination of observations and modeling. We will develop the modeling internally in collaboration with [C]Worthy. Observations will likely include autonomous platforms from an external provider; the provider and operator of the platforms are TBD.,,"pCO2,pH,Particulate inorganic carbon,Dissolved inorganic carbon,Temperature,Total alkalinity,Air-sea gas exchange,Current,Salinity,EC,Flow velocity,Stream of CO2,Turbidity,Total suspended solids",,,https://maps.app.goo.gl/onB8ZTrdcRKvfAN79,"Renewable Energy,Seawater","Stream of CO2,De-acidified and decarbonized seawater,Mineral carbonates,Alkaline hydroxides","Sequestration nearby,Coastal Desert,Onshore,Renewable energy nearby or self-generated,Flat,Unoccupied Terrain,Offshore,Near-shore",32.5556515,34.8949991,
